movie_id,genre
1090,Science Fiction
1090,Mystery
668,Adventure
668,Action
668,Thriller
9422,Drama
11451,Comedy
11451,Family
11451,Adventure
11451,Fantasy
11451,Romance
3902,Drama
3902,Music
13067,Romance
13067,Comedy
13067,Drama
11689,Action
11689,Comedy
25196,Drama
25196,Music
25196,Romance
26912,Horror
26912,Science Fiction
11535,Action
11535,Science Fiction
11535,Thriller
242828,Animation
242828,Drama
3034,Comedy
3034,Science Fiction
10093,Drama
10093,Horror
10093,Thriller
13161,Comedy
9545,Action
9545,Drama
9545,Thriller
77949,Horror
77949,Thriller
171424,Action
171424,Adventure
171424,Horror
171424,Thriller
10631,Fantasy
10631,Comedy
10631,Science Fiction
10631,Romance
26103,Action
26103,Adventure
26103,Crime
26103,Thriller
430988,Horror
430988,Action
430988,Fantasy
430988,Thriller
990,Drama
16288,Horror
106021,Action
106021,Thriller
466,Mystery
20858,Crime
580,Adventure
580,Thriller
305932,Comedy
11806,Comedy
11806,Family
75258,Animation
75258,Family
75258,Fantasy
75258,Adventure
14174,Drama
10234,Drama
10234,Horror
10234,Thriller
13374,Drama
13374,Comedy
13374,Family
102000,Drama
282813,Horror
8325,Comedy
8325,Drama
8325,Romance
149870,Animation
7972,Crime
7972,Drama
7972,Thriller
14728,Fantasy
14728,Action
14728,Adventure
14728,Comedy
288281,Thriller
7096,Adventure
7096,Drama
7096,Fantasy
7229,Comedy
7229,Crime
11419,Comedy
10307,Horror
8489,Drama
9550,Adventure
9550,Drama
9550,Action
9550,Romance
2760,Crime
2760,Drama
2760,Thriller
170689,Drama
170689,Thriller
13363,Science Fiction
13363,Drama
9606,Animation
9606,Science Fiction
7978,Drama
7978,Horror
7978,Thriller
22307,Horror
22307,Thriller
13387,Action
13387,Adventure
13387,Thriller
13387,Crime
8989,Comedy
8989,Family
8989,Fantasy
50647,Comedy
2099,Action
2099,Crime
2099,Thriller
84329,Science Fiction
84329,Comedy
84329,Drama
84329,Crime
11609,Comedy
11609,Adventure
13428,Comedy
13428,Crime
13428,Thriller
23706,Comedy
14537,Action
14537,Drama
14537,History
315011,Action
315011,Adventure
315011,Drama
315011,Horror
315011,Science Fiction
10443,Drama
17263,Action
17263,Crime
17263,Thriller
11590,Drama
11590,Comedy
10152,Comedy
14359,Drama
14359,Mystery
7340,Horror
7340,Thriller
12160,Drama
12160,Action
12160,Western
13474,Horror
13474,Thriller
42297,Drama
42297,Romance
9722,Comedy
9722,Fantasy
9722,Romance
15513,Comedy
15513,Romance
10996,Family
10996,Adventure
10996,Animation
10996,Comedy
9381,Action
9381,Adventure
9381,Science Fiction
9381,Thriller
7520,Drama
7520,Romance
10156,Comedy
4614,Thriller
4614,Action
4614,Drama
50546,Romance
50546,Comedy
24446,TV Movie
24446,Comedy
24446,Romance
24446,Family
192142,Drama
192142,History
10200,Drama
10200,Science Fiction
10200,Thriller
36915,Drama
36915,Mystery
36915,Thriller
9779,Drama
9779,Comedy
10668,Action
10668,Comedy
10668,Crime
10668,Drama
10668,Thriller
9737,Action
9737,Comedy
9737,Crime
9737,Thriller
60672,Action
60672,Thriller
60672,Crime
841,Action
841,Science Fiction
841,Adventure
371645,Drama
371645,Adventure
371645,Comedy
251994,Drama
70588,Romance
70588,Comedy
70588,Drama
10799,Action
10985,Comedy
10985,Family
11008,Adventure
11008,Comedy
11008,Family
15011,Thriller
15011,Horror
106747,Action
106747,Crime
106747,Thriller
15302,Documentary
306947,Thriller
339397,Comedy
339397,Drama
339397,Romance
11093,Drama
45772,Animation
45772,Family
1722,Drama
1722,History
1722,Romance
914,Comedy
281780,Action
281780,Drama
13637,Adventure
13637,Action
13637,Comedy
13637,Western
13637,Thriller
234212,Thriller
234212,Horror
10912,Drama
10912,History
10912,War
17124,Crime
17124,Drama
17124,Mystery
8856,Adventure
8856,Drama
8856,Action
8856,Romance
8856,Family
74534,Drama
74534,Comedy
329829,Drama
329829,History
329829,Romance
14811,Drama
14811,Romance
227200,Animation
227200,Family
3683,War
3683,Drama
3683,History
10285,Fantasy
10285,Horror
10285,Thriller
11071,Science Fiction
11071,Mystery
11071,Horror
426272,Comedy
426272,Crime
329263,Comedy
1878,Adventure
1878,Drama
1878,Comedy
